pub_id,Publisher Name,City,Country
1,Penguin Random House Canada,Toronto,Canada
2,The Great Courses,Chantilly,US
3,Beacon Press,Boston,US
4,HarperCollins Canada,Toronto,Canada
5,North Atlantic Books,Berkeley,US
6,Hachette,New York,US
7,Greystone Books,Vancouver,Canada
8,Simon & Schuster Canada,Toronto,Canada
9,Bloomsbury Publishing,London,UK
10,Arsenal Pulp Press,Vancouver,Canada
11,University of Minnesota Press,Minneapolis,US
12,Minotaur Books,New York,US
13,"Farrar, Straus and Giroux",New York,US
14,Soho Crime,New York,US
